"filename", "language", "Dart", "comment", "blank", "total"
"g:\flutter_test\zenon\lib\layout\home_cubit\home_cubit.dart", "Dart", 174, 32, 32, 238
"g:\flutter_test\zenon\lib\layout\home_cubit\home_states.dart", "Dart", 54, 0, 42, 96
"g:\flutter_test\zenon\lib\layout\upload_product_form.dart", "Dart", 523, 26, 23, 572
"g:\flutter_test\zenon\lib\layout\zenon_layout.dart", "Dart", 177, 22, 7, 206
"g:\flutter_test\zenon\lib\main.dart", "Dart", 92, 40, 19, 151
"g:\flutter_test\zenon\lib\models\cart_model.dart", "Dart", 38, 0, 5, 43
"g:\flutter_test\zenon\lib\models\categories_model.dart", "Dart", 99, 3, 16, 118
"g:\flutter_test\zenon\lib\models\change_favorites_model.dart", "Dart", 10, 0, 2, 12
"g:\flutter_test\zenon\lib\models\favoritites_model.dart", "Dart", 98, 3, 20, 121
"g:\flutter_test\zenon\lib\models\login_model.dart", "Dart", 45, 1, 8, 54
"g:\flutter_test\zenon\lib\models\products_model.dart", "Dart", 133, 3, 24, 160
"g:\flutter_test\zenon\lib\models\search_model.dart", "Dart", 123, 3, 16, 142
"g:\flutter_test\zenon\lib\modules\by_me_user\by_me_screen.dart", "Dart", 11, 0, 2, 13
"g:\flutter_test\zenon\lib\modules\cart\cart_empty.dart", "Dart", 80, 1, 3, 84
"g:\flutter_test\zenon\lib\modules\cart\cart_fully.dart", "Dart", 363, 13, 10, 386
"g:\flutter_test\zenon\lib\modules\cart\cart_screen.dart", "Dart", 132, 1, 19, 152
"g:\flutter_test\zenon\lib\modules\cart\cubit\cart_cubit.dart", "Dart", 95, 7, 26, 128
"g:\flutter_test\zenon\lib\modules\cart\cubit\cart_states.dart", "Dart", 10, 0, 7, 17
"g:\flutter_test\zenon\lib\modules\catigories\categories_screen.dart", "Dart", 58, 6, 5, 69
"g:\flutter_test\zenon\lib\modules\catigories\inner_screens\brands_navigation_rail_screen.dart", "Dart", 225, 5, 13, 243
"g:\flutter_test\zenon\lib\modules\catigories\inner_screens\brands_rail_widget.dart", "Dart", 96, 2, 5, 103
"g:\flutter_test\zenon\lib\modules\catigories\inner_screens\category_feed_screen.dart", "Dart", 0, 178, 12, 190
"g:\flutter_test\zenon\lib\modules\favourites\favourite_product_detail_screen.dart", "Dart", 590, 90, 58, 738
"g:\flutter_test\zenon\lib\modules\favourites\favourites_screen.dart", "Dart", 187, 10, 10, 207
"g:\flutter_test\zenon\lib\modules\login\login_cubit\login_cubit.dart", "Dart", 55, 8, 13, 76
"g:\flutter_test\zenon\lib\modules\login\login_cubit\login_states.dart", "Dart", 13, 0, 9, 22
"g:\flutter_test\zenon\lib\modules\login\login_screen.dart", "Dart", 241, 12, 5, 258
"g:\flutter_test\zenon\lib\modules\on_boarding\on_boarding_screen.dart", "Dart", 161, 13, 15, 189
"g:\flutter_test\zenon\lib\modules\products\product_details.dart", "Dart", 594, 91, 59, 744
"g:\flutter_test\zenon\lib\modules\products\products_screen.dart", "Dart", 357, 30, 19, 406
"g:\flutter_test\zenon\lib\modules\search\search_cubit\cubit.dart", "Dart", 47, 2, 18, 67
"g:\flutter_test\zenon\lib\modules\search\search_cubit\states.dart", "Dart", 18, 0, 13, 31
"g:\flutter_test\zenon\lib\modules\search\search_screen.dart", "Dart", 102, 2, 22, 126
"g:\flutter_test\zenon\lib\modules\settings\settings_screen.dart", "Dart", 355, 22, 52, 429
"g:\flutter_test\zenon\lib\modules\sign_up\sign_up_cubit\sign_up_cubit.dart", "Dart", 66, 7, 18, 91
"g:\flutter_test\zenon\lib\modules\sign_up\sign_up_cubit\sign_up_states.dart", "Dart", 20, 0, 15, 35
"g:\flutter_test\zenon\lib\modules\sign_up\sign_up_screen.dart", "Dart", 342, 16, 18, 376
"g:\flutter_test\zenon\lib\shared\components\components.dart", "Dart", 315, 18, 29, 362
"g:\flutter_test\zenon\lib\shared\components\constants.dart", "Dart", 20, 1, 5, 26
"g:\flutter_test\zenon\lib\shared\components\show_image_screen.dart", "Dart", 23, 2, 10, 35
"g:\flutter_test\zenon\lib\shared\cubbit\cubit.dart", "Dart", 0, 0, 1, 1
"g:\flutter_test\zenon\lib\shared\cubbit\states.dart", "Dart", 0, 0, 1, 1
"g:\flutter_test\zenon\lib\shared\cubit_observe\observe.dart", "Dart", 33, 0, 6, 39
"g:\flutter_test\zenon\lib\shared\network\local\cacheHelper.dart", "Dart", 24, 11, 13, 48
"g:\flutter_test\zenon\lib\shared\network\remote\dio_helper.dart", "Dart", 64, 4, 13, 81
"g:\flutter_test\zenon\lib\shared\network\remote\end_points_urls\end_points.dart", "Dart", 8, 1, 3, 12
"g:\flutter_test\zenon\lib\shared\styles\colors.dart", "Dart", 19, 12, 16, 47
"g:\flutter_test\zenon\lib\shared\styles\themes.dart", "Dart", 96, 10, 9, 115
"Total", "-", 6386, 708, 766, 7860